Gas Date	Loc	Loc Zone	Loc Name	Loc Purpose	Oper Cap	Loc Schd Qty (Rec)	Loc Schd Qty (Del)	Qty Avail	IT Ind	Last Updated	Comments
4/22/01	21239    	ZONE 1	CS #3 PORT LAVACA                       	R	228360         	97539          	0              	130821         	 	Last Updated: 04/22/01 13:30:02         	 
4/22/01	26729    	ZONE 1	ENGELKE-BAY PASTURE                     	R	6200           	1              	0              	6199           	 	Last Updated: 04/22/01 13:30:02         	 
4/22/01	285056   	ZONE 1	ALLEGRO WEAVER/FGT PDC                  	R	1000           	265            	0              	735            	 	Last Updated: 04/22/01 13:30:02         	 
4/22/01	12818    	ZONE 1	COASTAL STATES - MARKHAM                	D	516            	0              	-101           	415            	 	Last Updated: 04/22/01 13:30:02         	 
4/22/01	16355    	ZONE 1	ROOTH NORTH RANCH                       	D	500            	0              	-2             	498            	 	Last Updated: 04/22/01 13:30:02         	 
4/22/01	16437    	ZONE 1	TRES PALACIOS CORP                      	D	500            	0              	-2             	498            	 	Last Updated: 04/22/01 13:30:02         	 
4/22/01	16094    	ZONE 1	EDWARD HLAVINKA                         	D	500            	0              	-2             	498            	 	Last Updated: 04/22/01 13:30:02         	 
4/22/01	24664    	ZONE 1	TEJAS SW TWO-NORTH RANCH                	R	3000           	122            	0              	2878           	 	Last Updated: 04/22/01 13:30:02         	 
4/22/01	24659    	ZONE 1	CS #4 BAY CITY                          	R	235000         	97927          	-107           	137180         	 	Last Updated: 04/22/01 13:30:02         	 
4/22/01	12792    	ZONE 1	COASTAL STATES - DAMON                  	D	1029           	0              	-500           	529            	 	Last Updated: 04/22/01 13:30:02         	 
4/22/01	15831    	ZONE 1	KELLY OIL & GAS-GIBSON #2               	R	536            	250            	0              	286            	 	Last Updated: 04/22/01 13:30:02         	 
4/22/01	17847    	ZONE 1	RAMSEY ENTEX FGT                        	D	51             	0              	-8             	43             	 	Last Updated: 04/22/01 13:30:02         	 
4/22/01	20963    	ZONE 1	ROWAN UNION TEXAS FGT                   	R	700            	250            	0              	450            	 	Last Updated: 04/22/01 13:30:02         	 
4/22/01	15821    	ZONE 1	PETRUS  ALVIN                           	R	3000           	68             	0              	2932           	 	Last Updated: 04/22/01 13:30:02         	 
4/22/01	239798   	ZONE 1	TEJAS DICKINSON                         	D	50702          	0              	-9271          	41431          	 	Last Updated: 04/22/01 13:30:02         	 
4/22/01	270615   	ZONE 1	HPL-CROSS MEDIA WELL CONNECT            	R	12000          	1203           	0              	10797          	 	Last Updated: 04/22/01 13:30:02         	 
4/22/01	270616   	ZONE 1	HPL-TNCT WELL CONNECT                   	R	12800          	11602          	0              	1198           	 	Last Updated: 04/22/01 13:30:02         	 
4/22/01	105035   	ZONE 1	CENTANA-JEFFERSON FGT                   	R	100000         	42411          	0              	57589          	 	Last Updated: 04/22/01 13:30:02         	 
4/22/01	25220    	ZONE 1	CS #6 VIDOR                             	R	250000         	153711         	-9886          	106175         	 	Last Updated: 04/22/01 13:30:02         	 
4/22/01	25221    	ZONE 1	DOW PIPELINE ORANGE                     	R	4500           	675            	0              	3825           	 	Last Updated: 04/22/01 13:30:02         	 
4/22/01	287916   	ZONE 1	LAKE RONEL STARKES #1 PDC               	R	32000          	8050           	0              	23950          	 	Last Updated: 04/22/01 13:30:02         	 
4/22/01	233662   	ZONE 1	NEUMIN PRODUCTION/FGT PDC               	R	27500          	15999          	0              	11501          	 	Last Updated: 04/22/01 13:30:02         	 
4/22/01	23422    	ZONE 1	ENRON SABINE PASS PLANT                 	R	120000         	107916         	0              	12084          	 	Last Updated: 04/22/01 13:30:02         	 
4/22/01	258452   	ZONE 1	NEUMIN NORTH VINTON/FGT                 	R	6000           	3000           	0              	3000           	 	Last Updated: 04/22/01 13:30:02         	 
4/22/01	287469   	ZONE 1	ST MARY EDGERLY PDC                     	R	30000          	2821           	0              	27179          	 	Last Updated: 04/22/01 13:30:02         	 
4/22/01	287470   	ZONE 1	NEUMIN PRODUCTION MOSS BLUFF PDC        	R	11160          	4000           	0              	7160           	 	Last Updated: 04/22/01 13:30:02         	 
4/22/01	7246     	ZONE 1	CALCASIEU GSU ENRON INDUST. FGT         	D	80000          	0              	-45000         	35000          	 	Last Updated: 04/22/01 13:30:02         	 
4/22/01	50026    	ZONE 1	TRUNKLINE-MANCHESTER FGT                	R	140750         	80000          	0              	60750          	 	Last Updated: 04/22/01 13:30:02         	 
4/22/01	266872   	ZONE 1	HSR INDIAN VILLAGE                      	R	20000          	13900          	0              	6100           	 	Last Updated: 04/22/01 13:30:02         	 
4/22/01	278572   	ZONE 1	HSR-KING CORP #1                        	R	5000           	285            	0              	4715           	 	Last Updated: 04/22/01 13:30:02         	 
4/22/01	18951    	ZONE 1	ROGERVILLE                              	D	1000           	0              	-2             	998            	 	Last Updated: 04/22/01 13:30:02         	 
4/22/01	109643   	ZONE 1	EUNICE TEXAS FGT DEL                    	D	96000          	0              	-11700         	84300          	 	Last Updated: 04/22/01 13:30:02         	 
4/22/01	162709   	ZONE 1	CITY OF EUNICE                          	D	7500           	0              	-503           	6997           	 	Last Updated: 04/22/01 13:30:02         	 
4/22/01	6489     	ZONE 1	CS #7 EUNICE - ZONE 1 - TOTAL           	R	467100         	391024         	-67758         	143834         	 	Last Updated: 04/22/01 13:30:02         	 
4/22/01	10023    	ZONE 2	DESPOT PROD. CO. N. VELTIN              	R	150            	25             	0              	125            	 	Last Updated: 04/22/01 13:30:02         	 
4/22/01	10032    	ZONE 2	SEVARG-OPELOUSAS                        	R	150            	70             	0              	80             	 	Last Updated: 04/22/01 13:30:02         	 
4/22/01	240555   	ZONE 2	CITY OF CARENCRO                        	D	850            	0              	-56            	794            	 	Last Updated: 04/22/01 13:30:02         	 
